Project        ImType Object           ExpTime Filter  LST      UTDate     UTC        JD           Filename               [Logged@UT]
ALL            BIAS   BIASES               0.0 I       06:13:54 2014-06-09 17:45:04.2 2456818.2396 ccd140609.0001         [17:45:49.0
ALL            BIAS   BIASES               0.0 I       06:14:41 2014-06-09 17:45:51.1 2456818.2402 ccd140609.0002         [17:46:34.9
ALL            BIAS   BIASES               0.0 I       06:15:28 2014-06-09 17:46:37.6 2456818.2407 ccd140609.0003         [17:47:22.1
ALL            BIAS   BIASES               0.0 I       06:16:15 2014-06-09 17:47:24.6 2456818.2413 ccd140609.0004         [17:48:51.6
ALL            BIAS   BIASES               0.0 I       06:17:02 2014-06-09 17:48:11.0 2456818.2418 ccd140609.0005         [17:48:55.6
ALL            BIAS   BIASES               0.0 I       06:17:48 2014-06-09 17:48:57.4 2456818.2423 ccd140609.0006         [17:49:41.2
ALL            BIAS   BIASES               0.0 I       06:18:35 2014-06-09 17:49:43.9 2456818.2429 ccd140609.0007         [17:50:28.5
ALL            BIAS   BIASES               0.0 I       06:19:21 2014-06-09 17:50:30.3 2456818.2434 ccd140609.0008         [17:52:40.5
ALL            BIAS   BIASES               0.0 K       06:18:35 2014-06-09 17:49:43.9 2456818.2429 ccd140609.0007         [17:52:41.9
ALL            BIAS   BIASES               0.0 I       06:21:36 2014-06-09 17:52:44.3 2456818.2450 ccd140609.0010         [17:54:21.0
ALL            OBJECT focus                7.0 H       11:15:31 2014-06-09 22:45:51.5 2456818.4485 irfoco.0001            [22:46:15.7
ALL            OBJECT focus               10.0 V       11:15:33 2014-06-09 22:45:54.1 2456818.4485 ccdfoco.0001           [22:46:48.3
MCSS-14A-0001  OBJECT sn2010jl           150.0 H       11:20:36 2014-06-09 22:50:55.6 2456818.4520 ir140609.0001          [22:53:43.0
MCSS-14A-0001  OBJECT sn2010jl           120.0 B       11:20:38 2014-06-09 22:50:58.2 2456818.4521 ccd140609.0001         [22:54:27.2
MCSS-14A-0001  OBJECT sn2010jl           150.0 H       11:23:23 2014-06-09 22:53:42.5 2456818.4540 ir140609.0002          [22:56:29.9
MCSS-14A-0001  OBJECT sn2010jl           120.0 B       11:23:27 2014-06-09 22:53:46.0 2456818.4540 ccd140609.0002         [22:56:31.0
MCSS-14A-0001  OBJECT sn2010jl           150.0 H       11:26:11 2014-06-09 22:56:29.5 2456818.4559 ir140609.0003          [22:59:17.0
MCSS-14A-0001  OBJECT sn2010jl           120.0 B       11:26:14 2014-06-09 22:56:33.0 2456818.4559 ccd140609.0003         [22:59:18.1
MCSS-14A-0001  OBJECT sn2010jl           150.0 H       11:28:58 2014-06-09 22:59:16.5 2456818.4578 ir140609.0004          [23:02:04.0
MCSS-14A-0001  OBJECT sn2010jl           120.0 B       11:29:02 2014-06-09 22:59:20.0 2456818.4579 ccd140609.0004         [23:02:05.0
MCSS-14A-0001  OBJECT sn2010jl           150.0 H       11:31:46 2014-06-09 23:02:03.5 2456818.4598 ir140609.0005          [23:04:50.9
MCSS-14A-0001  OBJECT sn2010jl           120.0 B       11:31:49 2014-06-09 23:02:07.0 2456818.4598 ccd140609.0005         [23:04:52.2
MCSS-14A-0001  OBJECT sn2010jl           150.0 H       11:31:46 2014-06-09 23:02:03.5 2456818.4598 ir140609.0006          [23:07:47.7
MCSS-14A-0001  OBJECT sn2010jl           150.0 H       11:37:30 2014-06-09 23:07:46.7 2456818.4637 ir140609.0007          [23:10:33.2
MCSS-14A-0001  OBJECT sn2010jl           120.0 J       11:40:22 2014-06-09 23:10:38.9 2456818.4657 ir140609.0008          [23:12:56.2
MCSS-14A-0001  OBJECT sn2010jl           120.0 J       11:42:39 2014-06-09 23:12:54.9 2456818.4673 ir140609.0009          [23:15:11.3
MCSS-14A-0001  OBJECT sn2010jl           120.0 J       11:44:56 2014-06-09 23:15:11.4 2456818.4689 ir140609.0010          [23:17:28.5
MCSS-14A-0001  OBJECT sn2010jl           120.0 J       11:47:12 2014-06-09 23:17:27.4 2456818.4704 ir140609.0011          [23:19:43.8
MCSS-14A-0001  OBJECT sn2010jl           120.0 J       11:49:28 2014-06-09 23:19:43.5 2456818.4720 ir140609.0012          [23:22:00.8
MCSS-14A-0001  OBJECT sn2010jl           120.0 J       11:51:45 2014-06-09 23:21:59.7 2456818.4736 ir140609.0013          [23:24:16.1
MCSS-14A-0001  OBJECT sn2010jl           120.0 J       11:54:02 2014-06-09 23:24:15.9 2456818.4752 ir140609.0014          [23:26:33.2
MCSS-14A-0001  OBJECT sn2010jl           100.0 K       11:57:02 2014-06-09 23:27:16.0 2456818.4773 ir140609.0015          [23:29:12.3
MCSS-14A-0001  OBJECT sn2010jl           100.0 K       11:58:59 2014-06-09 23:29:12.1 2456818.4786 ir140609.0016          [23:31:09.5
MCSS-14A-0001  OBJECT sn2010jl           100.0 K       12:00:55 2014-06-09 23:31:08.4 2456818.4800 ir140609.0017          [23:33:48.0
MCSS-14A-0001  OBJECT sn2010jl           100.0 K       12:02:52 2014-06-09 23:33:04.6 2456818.4813 ir140609.0018          [23:35:03.6
MCSS-14A-0001  OBJECT sn2010jl           100.0 K       12:04:48 2014-06-09 23:35:00.7 2456818.4826 ir140609.0019          [23:37:40.2
MCSS-14A-0001  OBJECT sn2010jl           100.0 K       12:06:45 2014-06-09 23:36:57.0 2456818.4840 ir140609.0020          [23:38:54.2
MCSS-14A-0001  OBJECT sn2010jl           100.0 K       12:08:42 2014-06-09 23:38:53.6 2456818.4853 ir140609.0021          [23:41:42.7
OSU-03B-0001   OBJECT HE1104             150.0 J       12:27:57 2014-06-09 23:58:06.1 2456818.4987 ir140609.0022          [00:00:53.7
OSU-03B-0001   OBJECT HE1104             150.0 J       12:30:44 2014-06-10 00:00:52.2 2456818.5006 ir140609.0023          [00:03:38.7
OSU-03B-0001   OBJECT HE1104             300.0 R       12:28:00 2014-06-09 23:58:08.6 2456818.4987 ccd140609.0006         [00:03:53.4
OSU-03B-0001   OBJECT HE1104             150.0 J       12:33:31 2014-06-10 00:03:38.5 2456818.5025 ir140609.0024          [00:06:24.8
OSU-03B-0001   OBJECT HE1104             150.0 J       12:36:17 2014-06-10 00:06:24.9 2456818.5044 ir140609.0025          [00:09:12.6
OSU-03B-0001   OBJECT HE1104             300.0 R       12:33:47 2014-06-10 00:03:55.1 2456818.5027 ccd140609.0007         [00:09:38.9
OSU-03B-0001   OBJECT HE1104             150.0 J       12:39:04 2014-06-10 00:09:10.9 2456818.5064 ir140609.0026          [00:11:58.4
OSU-03B-0001   OBJECT HE1104             150.0 J       12:41:51 2014-06-10 00:11:57.1 2456818.5083 ir140609.0027          [00:14:43.4
OSU-03B-0001   OBJECT HE1104             300.0 R       12:39:35 2014-06-10 00:09:41.8 2456818.5067 ccd140609.0008         [00:15:26.4
OSU-03B-0001   OBJECT HE1104             150.0 J       12:45:28 2014-06-10 00:15:34.4 2456818.5108 ir140609.0028          [00:18:20.7
OSU-03B-0001   OBJECT HE1104             150.0 J       12:48:15 2014-06-10 00:18:20.3 2456818.5127 ir140609.0029          [00:21:07.6
OSU-03B-0001   OBJECT HE1104             300.0 I       12:45:31 2014-06-10 00:15:36.8 2456818.5108 ccd140609.0009         [00:21:20.6
OSU-03B-0001   OBJECT HE1104             150.0 J       12:51:02 2014-06-10 00:21:06.7 2456818.5147 ir140609.0030          [00:23:54.0
OSU-03B-0001   OBJECT HE1104             150.0 J       12:53:49 2014-06-10 00:23:53.1 2456818.5166 ir140609.0031          [00:26:39.5
OSU-03B-0001   OBJECT HE1104             300.0 I       12:51:18 2014-06-10 00:21:23.2 2456818.5148 ccd140609.0010         [00:27:07.7
OSU-03B-0001   OBJECT HE1104             150.0 J       12:56:35 2014-06-10 00:26:39.3 2456818.5185 ir140609.0032          [00:29:25.7
OSU-03B-0001   OBJECT HE1104             150.0 J       12:59:22 2014-06-10 00:29:25.6 2456818.5204 ir140609.0033          [00:32:12.9
OSU-03B-0001   OBJECT HE1104             300.0 I       12:57:06 2014-06-10 00:27:10.1 2456818.5189 ccd140609.0011         [00:32:53.9
CHILE-13B-0039 OBJECT V365 Car            90.0 V       13:05:03 2014-06-10 00:35:05.8 2456818.5244 ccd140609.0012         [00:37:20.5
CHILE-13B-0039 OBJECT V365 Car            45.0 V       13:07:24 2014-06-10 00:37:26.7 2456818.5260 ccd140609.0013         [00:38:55.5
DUBLIN-11B-000 OBJECT TWA30AB             30.1 J       13:10:56 2014-06-10 00:40:57.4 2456818.5284 ir140609.0034          [00:42:19.3
DUBLIN-11B-000 OBJECT TWA30AB            110.0 I       13:10:58 2014-06-10 00:40:59.8 2456818.5285 ccd140609.0014         [00:43:33.6
DUBLIN-11B-000 OBJECT TWA30AB             30.1 J       13:12:16 2014-06-10 00:42:17.7 2456818.5294 ir140609.0035          [00:43:39.9
DUBLIN-11B-000 OBJECT TWA30AB             30.0 J       13:13:37 2014-06-10 00:43:38.7 2456818.5303 ir140609.0036          [00:44:59.4
DUBLIN-11B-000 OBJECT TWA30AB            110.0 I       13:13:35 2014-06-10 00:43:36.5 2456818.5303 ccd140609.0015         [00:46:11.0
DUBLIN-11B-000 OBJECT TWA30AB             30.0 J       13:14:58 2014-06-10 00:44:59.5 2456818.5312 ir140609.0037          [00:46:20.2
DUBLIN-11B-000 OBJECT TWA30AB             30.1 J       13:16:19 2014-06-10 00:46:19.8 2456818.5322 ir140609.0038          [00:47:41.4
DUBLIN-11B-000 OBJECT TWA30AB            110.0 I       13:16:12 2014-06-10 00:46:13.4 2456818.5321 ccd140609.0016         [00:48:47.2
DUBLIN-11B-000 OBJECT TWA30AB             30.0 K       13:18:56 2014-06-10 00:48:56.7 2456818.5340 ir140609.0039          [00:50:18.3
DUBLIN-11B-000 OBJECT TWA30AB            110.0 R       13:18:59 2014-06-10 00:48:59.2 2456818.5340 ccd140609.0017         [00:51:33.0
DUBLIN-11B-000 OBJECT TWA30AB             30.0 K       13:20:17 2014-06-10 00:50:17.0 2456818.5349 ir140609.0040          [00:51:39.7
DUBLIN-11B-000 OBJECT TWA30AB             30.0 K       13:21:38 2014-06-10 00:51:37.6 2456818.5359 ir140609.0041          [00:52:58.4
DUBLIN-11B-000 OBJECT TWA30AB            110.0 R       13:21:36 2014-06-10 00:51:35.8 2456818.5358 ccd140609.0018         [00:54:10.5
DUBLIN-11B-000 OBJECT TWA30AB             30.1 K       13:22:58 2014-06-10 00:52:58.2 2456818.5368 ir140609.0042          [00:54:18.9
DUBLIN-11B-000 OBJECT TWA30AB             30.0 K       13:24:19 2014-06-10 00:54:18.6 2456818.5377 ir140609.0043          [00:55:40.1
DUBLIN-11B-000 OBJECT TWA30AB            110.0 R       13:24:13 2014-06-10 00:54:12.9 2456818.5376 ccd140609.0019         [00:56:46.7
YALE-08A-0001  OBJECT 3C279               30.0 J       13:28:41 2014-06-10 00:58:40.0 2456818.5407 ir140609.0044          [00:59:27.4
YALE-08A-0001  OBJECT 3C279               30.0 J       13:29:27 2014-06-10 00:59:26.0 2456818.5413 ir140609.0045          [01:00:12.3
YALE-08A-0001  OBJECT 3C279               70.0 R       13:28:44 2014-06-10 00:58:42.4 2456818.5408 ccd140609.0020         [01:00:37.0
YALE-08A-0001  OBJECT 3C279               30.1 J       13:30:14 2014-06-10 01:00:12.4 2456818.5418 ir140609.0046          [01:00:58.8
YALE-08A-0001  OBJECT 3C279               30.0 J       13:31:00 2014-06-10 01:00:58.7 2456818.5423 ir140609.0047          [01:01:46.5
YALE-08A-0001  OBJECT 3C279               30.1 J       13:31:46 2014-06-10 01:01:44.6 2456818.5429 ir140609.0048          [01:02:31.1
