Project        ImType Object           ExpTime Filter  LST      UTDate     UTC        JD           Filename               [Logged@UT]
ALL            BIAS   BIASES               0.0 I       11:17:46 2014-06-14 22:28:26.7 2456823.4364 ccd140614bias.0001     [22:29:11.5
ALL            BIAS   BIASES               0.0 I       11:18:33 2014-06-14 22:29:13.7 2456823.4370 ccd140614bias.0002     [22:29:57.5
ALL            BIAS   BIASES               0.0 I       11:19:20 2014-06-14 22:30:00.3 2456823.4375 ccd140614bias.0003     [22:30:44.9
ALL            BIAS   BIASES               0.0 I       11:20:07 2014-06-14 22:30:46.7 2456823.4380 ccd140614bias.0004     [22:31:30.5
ALL            BIAS   BIASES               0.0 I       11:20:53 2014-06-14 22:31:33.3 2456823.4386 ccd140614bias.0005     [22:32:17.8
ALL            BIAS   BIASES               0.0 I       11:21:40 2014-06-14 22:32:20.2 2456823.4391 ccd140614bias.0006     [22:33:04.0
ALL            BIAS   BIASES               0.0 I       11:22:27 2014-06-14 22:33:06.8 2456823.4397 ccd140614bias.0007     [22:33:51.3
ALL            BIAS   BIASES               0.0 I       11:23:14 2014-06-14 22:33:53.8 2456823.4402 ccd140614bias.0008     [22:34:37.6
ALL            BIAS   BIASES               0.0 I       11:24:01 2014-06-14 22:34:40.2 2456823.4408 ccd140614bias.0009     [22:35:24.8
ALL            BIAS   BIASES               0.0 I       11:24:48 2014-06-14 22:35:27.1 2456823.4413 ccd140614bias.0010     [22:36:11.1
ALL            OBJECT focus                7.0 H       11:30:01 2014-06-14 22:40:39.2 2456823.4449 irfoco.0001            [22:41:03.3
ALL            OBJECT focus               10.0 V       11:30:03 2014-06-14 22:40:41.8 2456823.4449 ccdfoco.0001           [22:41:35.6
ALL            OBJECT focus                7.0 H       11:32:07 2014-06-14 22:42:45.4 2456823.4464 irfoco.0002            [22:43:09.4
ALL            OBJECT focus               10.0 V       11:32:10 2014-06-14 22:42:47.8 2456823.4464 ccdfoco.0002           [22:43:41.7
ALL            OBJECT focus                7.0 H       11:34:14 2014-06-14 22:44:51.5 2456823.4478 irfoco.0003            [22:45:15.6
ALL            OBJECT focus               10.0 V       11:34:16 2014-06-14 22:44:54.1 2456823.4479 ccdfoco.0003           [22:45:48.0
ALL            OBJECT focus                7.0 H       11:35:27 2014-06-14 22:46:04.2 2456823.4487 irfoco.0004            [22:46:28.3
ALL            OBJECT focus               10.0 V       11:35:29 2014-06-14 22:46:06.7 2456823.4487 ccdfoco.0004           [22:47:00.6
ALL            OBJECT focus                7.0 H       11:36:58 2014-06-14 22:47:35.1 2456823.4497 irfoco.0005            [22:47:59.2
ALL            OBJECT focus               10.0 V       11:37:00 2014-06-14 22:47:37.6 2456823.4497 ccdfoco.0005           [22:48:31.6
CHILE-13B-0039 OBJECT HS Pup             110.0 V       11:42:30 2014-06-14 22:53:06.2 2456823.4536 ccd140614.0001         [22:55:41.0
CHILE-13B-0039 OBJECT HS Pup              55.0 V       11:45:11 2014-06-14 22:55:47.2 2456823.4554 ccd140614.0002         [22:57:26.1
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:52:14 2014-06-14 23:02:48.9 2456823.4603 ir140614.0001          [23:03:26.5
