Project        ImType Object           ExpTime Filter  LST      UTDate     UTC        JD           Filename               [Logged@UT]
ALL            BIAS   BIASES               0.0 I       08:36:01 2014-06-08 20:10:42.8 2456817.3408 ccd140608.0001         [20:11:27.6
ALL            BIAS   BIASES               0.0 I       08:36:48 2014-06-08 20:11:29.7 2456817.3413 ccd140608.0002         [20:12:13.5
ALL            BIAS   BIASES               0.0 I       08:37:35 2014-06-08 20:12:16.3 2456817.3419 ccd140608.0003         [20:13:00.8
ALL            BIAS   BIASES               0.0 I       08:38:22 2014-06-08 20:13:03.2 2456817.3424 ccd140608.0004         [20:13:47.0
ALL            BIAS   BIASES               0.0 I       08:39:08 2014-06-08 20:13:49.5 2456817.3429 ccd140608.0005         [20:14:34.1
ALL            BIAS   BIASES               0.0 I       08:39:55 2014-06-08 20:14:36.0 2456817.3435 ccd140608.0006         [20:15:19.7
ALL            BIAS   BIASES               0.0 I       08:40:41 2014-06-08 20:15:22.5 2456817.3440 ccd140608.0007         [20:16:07.1
ALL            BIAS   BIASES               0.0 I       08:41:28 2014-06-08 20:16:09.5 2456817.3446 ccd140608.0008         [20:16:53.2
ALL            BIAS   BIASES               0.0 I       08:42:15 2014-06-08 20:16:56.1 2456817.3451 ccd140608.0009         [20:17:40.6
ALL            BIAS   BIASES               0.0 I       08:43:02 2014-06-08 20:17:43.0 2456817.3457 ccd140608.0010         [20:18:26.8
ALL            OBJECT focus                7.0 H       10:58:09 2014-06-08 22:32:28.4 2456817.4392 irfoco.0001            [22:32:52.6
ALL            OBJECT focus               10.0 V       10:58:12 2014-06-08 22:32:30.9 2456817.4392 ccdfoco.0001           [22:33:24.7
ALL            OBJECT focus                7.0 H       11:02:37 2014-06-08 22:36:55.8 2456817.4423 irfoco.0001            [22:37:20.0
ALL            OBJECT focus               10.0 H       11:02:40 2014-06-08 22:36:58.4 2456817.4423 ccdfoco.0001           [22:38:35.4
CHILE-13B-0039 OBJECT HS Pup             110.0 V       11:13:07 2014-06-08 22:47:23.4 2456817.4496 ccd140608.0001         [22:49:58.9
CHILE-13B-0039 OBJECT HS Pup              55.0 V       11:15:48 2014-06-08 22:50:04.2 2456817.4514 ccd140608.0002         [22:51:43.3
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:38:22 2014-06-08 23:12:34.3 2456817.4671 ir140608.0001          [23:13:11.9
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:38:58 2014-06-08 23:13:10.8 2456817.4675 ir140608.0002          [23:13:47.5
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:39:35 2014-06-08 23:13:47.4 2456817.4679 ir140608.0003          [23:14:25.1
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:40:12 2014-06-08 23:14:24.1 2456817.4683 ir140608.0004          [23:15:00.8
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:40:48 2014-06-08 23:15:00.3 2456817.4688 ir140608.0005          [23:15:37.9
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:41:25 2014-06-08 23:15:36.9 2456817.4692 ir140608.0006          [23:16:13.7
NOAO-14A-0410  OBJECT LCAR                 4.0 H+ND4   11:42:01 2014-06-08 23:16:13.4 2456817.4696 ir140608.0007          [23:16:51.2
NOAO-14A-0410  OBJECT LCARLEFT            12.0 H       11:44:55 2014-06-08 23:19:06.4 2456817.4716 ir140608.0008          [23:20:07.2
NOAO-14A-0410  OBJECT LCARLEFT            12.0 H       11:45:55 2014-06-08 23:20:06.8 2456817.4723 ir140608.0009          [23:21:08.4
NOAO-14A-0410  OBJECT LCARLEFT            12.0 H       11:46:56 2014-06-08 23:21:07.4 2456817.4730 ir140608.0010          [23:22:08.0
NOAO-14A-0410  OBJECT LCARLEFT            12.0 H       11:47:57 2014-06-08 23:22:07.9 2456817.4737 ir140608.0011          [23:23:09.5
NOAO-14A-0410  OBJECT LCARLEFT            12.0 H       11:48:57 2014-06-08 23:23:08.2 2456817.4744 ir140608.0012          [23:24:51.8
NOAO-14A-0410  OBJECT LCARLEFT            12.0 H       11:49:58 2014-06-08 23:24:08.5 2456817.4751 ir140608.0013          [23:25:10.6
NOAO-14A-0410  OBJECT LCARLEFT            12.0 H       11:50:58 2014-06-08 23:25:08.8 2456817.4758 ir140608.0014          [23:26:09.6
NOAO-14A-0410  OBJECT LCARRIGHT            4.0 H       11:53:07 2014-06-08 23:27:17.4 2456817.4773 ir140608.0015          [23:27:55.5
NOAO-14A-0410  OBJECT LCARRIGHT            4.0 H       11:53:43 2014-06-08 23:27:53.7 2456817.4777 ir140608.0016          [23:29:13.6
NOAO-14A-0410  OBJECT LCARRIGHT            4.0 H       11:54:20 2014-06-08 23:28:30.6 2456817.4781 ir140608.0017          [23:29:15.7
NOAO-14A-0410  OBJECT LCARRIGHT            4.0 H       11:54:57 2014-06-08 23:29:07.3 2456817.4786 ir140608.0018          [23:29:44.5
NOAO-14A-0410  OBJECT LCARRIGHT            4.0 H       11:55:34 2014-06-08 23:29:43.6 2456817.4790 ir140608.0019          [23:30:21.3
NOAO-14A-0410  OBJECT LCARRIGHT            4.0 H       11:56:10 2014-06-08 23:30:19.8 2456817.4794 ir140608.0020          [23:30:56.9
NOAO-14A-0410  OBJECT LCARRIGHT            4.0 H       11:56:47 2014-06-08 23:30:56.8 2456817.4798 ir140608.0021          [23:31:34.6
NOAO-14A-0016  OBJECT WASP-19             30.0 V       11:59:26 2014-06-08 23:33:35.1 2456817.4816 ccd140608.0003         [23:35:41.7
NOAO-14A-0016  OBJECT WASP-19             30.0 V       12:20:54 2014-06-08 23:55:00.1 2456817.4965 ccd140608.0004         [23:56:14.9
NOAO-14A-0016  OBJECT WASP-19             30.0 V       12:22:11 2014-06-08 23:56:16.5 2456817.4974 ccd140608.0005         [23:59:06.4
NOAO-14A-0016  OBJECT WASP-19             30.0 V       12:44:50 2014-06-09 00:18:52.1 2456817.5131 ccd140608.0006         [00:20:06.9
NOAO-14A-0016  OBJECT WASP-19             30.0 V       12:47:02 2014-06-09 00:21:03.5 2456817.5146 ccd140608.0007         [00:24:26.8
NOAO-14A-0016  OBJECT WASP-19             30.0 V       12:48:36 2014-06-09 00:22:36.7 2456817.5157 ccd140608.0008         [00:27:25.5
NOAO-14A-0016  OBJECT WASP-19             30.0 V       12:50:36 2014-06-09 00:24:36.6 2456817.5171 ccd140608.0009         [00:27:26.4
CHILE-12B-0001 OBJECT V648 Car             5.0 B       12:58:14 2014-06-09 00:32:14.1 2456817.5224 ccd140608.0010         [00:33:04.3
CHILE-12B-0001 OBJECT V648 Car             5.0 V       12:59:12 2014-06-09 00:33:11.0 2456817.5230 ccd140608.0011         [00:33:59.8
CHILE-12B-0001 OBJECT V648 Car             3.0 R       13:00:08 2014-06-09 00:34:07.8 2456817.5237 ccd140608.0012         [00:34:55.4
CHILE-12B-0001 OBJECT V648 Car             2.0 I       13:01:07 2014-06-09 00:35:05.7 2456817.5244 ccd140608.0013         [00:35:51.4
YALE-08A-0001  OBJECT 3C279               30.0 J       13:05:04 2014-06-09 00:39:02.2 2456817.5271 ir140608.0022          [00:39:49.6
YALE-08A-0001  OBJECT 3C279               30.0 J       13:05:50 2014-06-09 00:39:48.2 2456817.5276 ir140608.0023          [00:41:26.8
NOAO-14A-0257  OBJECT PHR1418-5144       420.0 V       13:25:20 2014-06-09 00:59:15.6 2456817.5411 ccd140608.0014         [01:07:00.5
NOAO-14A-0257  OBJECT PHR1418-5144       420.0 V       13:33:09 2014-06-09 01:07:02.6 2456817.5466 ccd140608.0015         [01:15:29.6
NOAO-14A-0257  OBJECT PHR1418-5144       420.0 V       13:40:57 2014-06-09 01:14:49.3 2456817.5520 ccd140608.0016         [01:22:34.0
NOAO-14A-0257  OBJECT PHR1418-5144       420.0 V       13:48:44 2014-06-09 01:22:35.7 2456817.5573 ccd140608.0017         [01:30:19.5
NOAO-14A-0257  OBJECT PHR1418-5144       420.0 V       13:56:32 2014-06-09 01:30:22.1 2456817.5628 ccd140608.0018         [01:38:06.9
NOAO-14A-0257  OBJECT PHR1418-5144       420.0 V       14:04:20 2014-06-09 01:38:08.6 2456817.5682 ccd140608.0019         [01:46:35.6
YALE-08A-0001  OBJECT 1424-41             30.1 J       14:14:23 2014-06-09 01:48:09.9 2456817.5751 ir140608.0024          [01:48:57.5
YALE-08A-0001  OBJECT 1424-41             30.1 J       14:15:09 2014-06-09 01:48:55.9 2456817.5757 ir140608.0025          [01:50:25.4
YALE-08A-0001  OBJECT 1424-41             70.0 R       14:14:25 2014-06-09 01:48:12.5 2456817.5751 ccd140608.0020         [01:50:27.3
YALE-08A-0001  OBJECT 1424-41             30.1 J       14:15:56 2014-06-09 01:49:42.7 2456817.5762 ir140608.0026          [01:50:29.1
YALE-08A-0001  OBJECT 1424-41             30.1 J       14:16:42 2014-06-09 01:50:29.2 2456817.5767 ir140608.0027          [01:51:18.4
YALE-08A-0001  OBJECT 1424-41             30.0 J       14:17:28 2014-06-09 01:51:15.2 2456817.5773 ir140608.0028          [01:52:53.9
YALE-03A-0001  OBJECT 4U1543-47           30.1 J       14:39:54 2014-06-09 02:13:37.6 2456817.5928 ir140608.0029          [02:14:25.0
YALE-03A-0001  OBJECT 4U1543-47           30.0 J       14:40:41 2014-06-09 02:14:23.5 2456817.5933 ir140608.0030          [02:15:09.9
YALE-03A-0001  OBJECT 4U1543-47           30.1 J       14:40:41 2014-06-09 02:14:23.5 2456817.5933 ir140608.0031          [02:16:06.9
YALE-03A-0001  OBJECT 4U1543-47           30.1 J       14:42:23 2014-06-09 02:16:06.0 2456817.5945 ir140608.0032          [02:16:52.3
YALE-03A-0001  OBJECT 4U1543-47          180.0 V       14:39:57 2014-06-09 02:13:40.0 2456817.5928 ccd140608.0021         [02:17:24.6
YALE-03A-0001  OBJECT 4U1543-47           30.1 J       14:43:10 2014-06-09 02:16:52.0 2456817.5950 ir140608.0033          [02:17:38.5
YALE-03A-0001  OBJECT 4U1543-47           30.0 H       14:44:04 2014-06-09 02:17:46.5 2456817.5957 ir140608.0034          [02:18:33.7
YALE-03A-0001  OBJECT 4U1543-47           30.1 H       14:44:50 2014-06-09 02:18:32.5 2456817.5962 ir140608.0035          [02:19:18.9
YALE-03A-0001  OBJECT 4U1543-47           30.0 H       14:45:37 2014-06-09 02:19:18.8 2456817.5967 ir140608.0036          [02:20:06.1
YALE-03A-0001  OBJECT 4U1543-47           30.0 H       14:46:23 2014-06-09 02:20:05.2 2456817.5973 ir140608.0037          [02:20:51.6
YALE-03A-0001  OBJECT 4U1543-47          180.0 I       14:44:06 2014-06-09 02:17:48.4 2456817.5957 ccd140608.0022         [02:21:33.1
YALE-03A-0001  OBJECT 4U1543-47           30.0 H       14:47:10 2014-06-09 02:20:51.4 2456817.5978 ir140608.0038          [02:21:37.7
OSU-03A-0001   OBJECT OB140959            50.0 H       14:50:56 2014-06-09 02:24:37.0 2456817.6004 ir140608.0039          [02:25:44.3
OSU-03A-0001   OBJECT OB140959            50.0 H       14:52:02 2014-06-09 02:25:42.9 2456817.6012 ir140608.0040          [02:26:49.3
OSU-03A-0001   OBJECT OB140959            50.0 H       14:53:08 2014-06-09 02:26:49.1 2456817.6020 ir140608.0041          [02:27:56.4
OSU-03A-0001   OBJECT OB140959            50.0 H       14:54:15 2014-06-09 02:27:55.3 2456817.6027 ir140608.0042          [02:29:01.7
OSU-03A-0001   OBJECT OB140959            50.0 H       14:55:21 2014-06-09 02:29:01.3 2456817.6035 ir140608.0043          [02:30:08.5
OSU-03A-0001   OBJECT OB140959           300.0 I       14:50:58 2014-06-09 02:24:39.5 2456817.6004 ccd140608.0023         [02:30:23.3
OSU-03A-0001   OBJECT OB140866            50.0 H       14:58:30 2014-06-09 02:32:10.3 2456817.6057 ir140608.0044          [02:33:18.1
OSU-03A-0001   OBJECT OB140866            50.0 H       14:59:36 2014-06-09 02:33:16.1 2456817.6064 ir140608.0045          [02:34:22.4
OSU-03A-0001   OBJECT OB140866            50.0 H       15:00:43 2014-06-09 02:34:22.2 2456817.6072 ir140608.0046          [02:35:29.4
OSU-03A-0001   OBJECT OB140866            50.0 H       15:01:49 2014-06-09 02:35:28.2 2456817.6080 ir140608.0047          [02:36:34.6
OSU-03A-0001   OBJECT OB140866            50.0 H       15:02:55 2014-06-09 02:36:34.2 2456817.6087 ir140608.0048          [02:37:41.5
OSU-03A-0001   OBJECT OB140866           300.0 I       14:58:33 2014-06-09 02:32:12.8 2456817.6057 ccd140608.0024         [02:37:56.7
OSU-03A-0001   OBJECT OB140896            50.0 H       15:11:25 2014-06-09 02:45:03.1 2456817.6146 ir140608.0049          [02:46:10.4
OSU-03A-0001   OBJECT OB140896            50.0 H       15:12:31 2014-06-09 02:46:09.0 2456817.6154 ir140608.0050          [02:47:15.4
OSU-03A-0001   OBJECT OB140896            50.0 H       15:13:38 2014-06-09 02:47:15.2 2456817.6162 ir140608.0051          [02:48:22.4
OSU-03A-0001   OBJECT OB140896            50.0 H       15:14:44 2014-06-09 02:48:21.3 2456817.6169 ir140608.0052          [02:49:27.7
OSU-03A-0001   OBJECT OB140896            50.0 H       15:15:50 2014-06-09 02:49:27.2 2456817.6177 ir140608.0053          [02:50:34.5
OSU-03A-0001   OBJECT OB140896           300.0 I       15:11:28 2014-06-09 02:45:05.7 2456817.6146 ccd140608.0025         [02:50:49.5
OSU-03A-0001   OBJECT OB140471            50.0 H       15:18:01 2014-06-09 02:51:37.6 2456817.6192 ir140608.0054          [02:52:44.9
OSU-03A-0001   OBJECT OB140471            50.0 H       15:19:07 2014-06-09 02:52:43.5 2456817.6200 ir140608.0055          [02:53:49.8
OSU-03A-0001   OBJECT OB140471            50.0 H       15:20:14 2014-06-09 02:53:50.1 2456817.6207 ir140608.0056          [02:54:57.5
OSU-03A-0001   OBJECT OB140471            50.0 H       15:21:20 2014-06-09 02:54:56.5 2456817.6215 ir140608.0057          [02:56:02.9
OSU-03A-0001   OBJECT OB140471            50.0 H       15:22:27 2014-06-09 02:56:02.5 2456817.6223 ir140608.0058          [02:57:10.1
OSU-03A-0001   OBJECT OB140471           300.0 I       15:18:03 2014-06-09 02:51:40.1 2456817.6192 ccd140608.0026         [02:57:23.9
OSU-03A-0001   OBJECT MB140275            50.0 H       15:26:39 2014-06-09 03:00:13.9 2456817.6252 ir140608.0059          [03:01:21.2
OSU-03A-0001   OBJECT MB140275            50.0 H       15:27:45 2014-06-09 03:01:19.8 2456817.6259 ir140608.0060          [03:02:26.2
OSU-03A-0001   OBJECT MB140275            50.0 H       15:28:51 2014-06-09 03:02:26.0 2456817.6267 ir140608.0061          [03:03:33.2
OSU-03A-0001   OBJECT MB140275            50.0 H       15:29:57 2014-06-09 03:03:32.2 2456817.6275 ir140608.0062          [03:04:38.5
OSU-03A-0001   OBJECT MB140275            50.0 H       15:31:03 2014-06-09 03:04:38.0 2456817.6282 ir140608.0063          [03:05:45.3
OSU-03A-0001   OBJECT MB140275           300.0 I       15:26:41 2014-06-09 03:00:16.5 2456817.6252 ccd140608.0027         [03:06:00.3
OSU-03A-0001   OBJECT MB140275            50.0 H       15:32:30 2014-06-09 03:06:04.6 2456817.6292 ir140608.0064          [03:07:12.0
OSU-03A-0001   OBJECT MB140275            50.0 H       15:33:36 2014-06-09 03:07:10.7 2456817.6300 ir140608.0065          [03:08:17.1
OSU-03A-0001   OBJECT MB140275            50.0 H       15:34:43 2014-06-09 03:08:16.8 2456817.6308 ir140608.0066          [03:09:24.1
OSU-03A-0001   OBJECT MB140275            50.0 H       15:35:49 2014-06-09 03:09:22.9 2456817.6315 ir140608.0067          [03:10:29.3
OSU-03A-0001   OBJECT MB140275            50.0 H       15:36:55 2014-06-09 03:10:28.8 2456817.6323 ir140608.0068          [03:11:36.0
