#             		B	    B        B          V  	    V        V          R  	    R        R          J  	    J        J          K  	    K        K            
#    JD start        JD start      mag      err      JD start      mag      err      JD start      mag      err      JD start      mag      err      JD start      mag      err
#                                                                                                                                                                               
   2454860.77828       999.00000 999.000 999.000       999.00000 999.000 999.000   2454860.77828  15.087   0.004       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454864.86125       999.00000 999.000 999.000       999.00000 999.000 999.000   2454864.86125  14.921   0.004       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454866.77574   2454866.77574  16.028   0.005       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454867.71370       999.00000 999.000 999.000   2454867.71370  15.620   0.005       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454868.81117       999.00000 999.000 999.000       999.00000 999.000 999.000   2454868.81117  15.060   0.004       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454870.80994   2454870.80994  16.067   0.007       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454871.75426       999.00000 999.000 999.000   2454871.75426  15.473   0.007       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454872.75870       999.00000 999.000 999.000       999.00000 999.000 999.000   2454872.75870  15.014   0.006       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454874.74062   2454874.74062  16.317   0.008       999.00000 999.000 999.000       999.00000 999.000 999.000   2454874.74058  13.360   0.006       999.00000 999.000 999.000
   2454878.77700   2454878.77700  16.364   0.006       999.00000 999.000 999.000       999.00000 999.000 999.000   2454878.77696  13.381   0.006       999.00000 999.000 999.000
   2454879.72147       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000   2454879.72147  13.298   0.006       999.00000 999.000 999.000
   2454882.79686       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000   2454882.79686  13.232   0.006       999.00000 999.000 999.000
   2454890.75727   2454890.75727  16.143   0.005   2454890.75897  15.514   0.004   2454890.76067  14.956   0.004   2454890.75723  13.181   0.006       999.00000 999.000 999.000
   2454896.77326       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000   2454896.77326  13.723   0.007       999.00000 999.000 999.000
   2454898.74413   2454898.74413  16.914   0.012   2454898.74583  16.348   0.009   2454898.74753  15.782   0.007   2454898.74409  13.929   0.008       999.00000 999.000 999.000
   2454900.76035   2454900.76035  16.996   0.023   2454900.76206  16.398   0.016   2454900.76376  15.848   0.012       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454904.80357   2454904.80357  16.937   0.019   2454904.80527  16.356   0.015   2454904.80698  15.809   0.012   2454904.80353  14.097   0.009       999.00000 999.000 999.000
   2454906.73134   2454906.73134  16.977   0.012   2454906.73305  16.448   0.009   2454906.73477  15.892   0.007       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454908.79291   2454908.79291  17.158   0.012   2454908.79462  16.632   0.009   2454908.79633  16.068   0.008   2454908.79287  14.363   0.011       999.00000 999.000 999.000
   2454910.72242   2454910.72242  17.102   0.009   2454910.72412  16.694   0.009   2454910.72582  16.150   0.008       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454912.76649   2454912.76649  17.289   0.010   2454912.76819  16.727   0.009   2454912.76989  16.170   0.007   2454912.76645  14.405   0.010       999.00000 999.000 999.000
   2454914.69170   2454914.69170  17.195   0.010   2454914.69341  16.660   0.008   2454914.69511  16.082   0.007   2454914.69166  14.356   0.010       999.00000 999.000 999.000
   2454917.74942   2454917.74942  17.391   0.011   2454917.75112  16.802   0.009   2454917.75283  16.219   0.008   2454917.74938  14.433   0.010       999.00000 999.000 999.000
   2454919.68846   2454919.68846  17.267   0.010   2454919.69016  16.715   0.008   2454919.69186  16.100   0.007   2454919.68842  14.318   0.010       999.00000 999.000 999.000
   2454921.76746   2454921.76746  17.335   0.010   2454921.77410  16.757   0.009   2454921.77581  16.159   0.007   2454921.76742  14.335   0.010       999.00000 999.000 999.000
   2454925.74788   2454925.74788  17.592   0.013   2454925.75015  17.011   0.011   2454925.75186  16.357   0.008       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454927.69192   2454927.69192  17.611   0.020   2454927.69417  17.071   0.015   2454927.69587  16.520   0.011   2454927.69413  14.640   0.013       999.00000 999.000 999.000
   2454929.69319   2454929.69319  17.660   0.047   2454929.69544  17.094   0.040   2454929.69714  16.487   0.030       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454932.71845   2454932.71845  17.655   0.037   2454932.72072  17.033   0.029   2454932.72242  16.503   0.023   2454932.72068  14.691   0.012   2454932.71840  12.514   0.013
   2454934.64377   2454934.64377  17.589   0.020   2454934.64603  17.007   0.015   2454934.64773  16.433   0.011   2454934.64599  14.693   0.013   2454934.64373  12.602   0.011
   2454935.70594   2454935.70594  17.556   0.017   2454935.70819  17.015   0.013   2454935.70989  16.500   0.010   2454935.70815  14.747   0.012   2454935.70591  12.376   0.011
   2454938.71485   2454938.71485  17.270   0.011   2454938.71711  16.773   0.015   2454938.71881  16.159   0.008   2454938.71707  14.431   0.014   2454938.71481  12.110   0.009
   2454939.65314   2454939.65314  17.033   0.008   2454939.65539  16.790   0.009   2454939.65709  16.168   0.008   2454939.65537  14.447   0.011       999.00000 999.000 999.000
   2454940.64421   2454940.64421  17.062   0.015   2454940.64647  16.516   0.008   2454940.64817  15.931   0.006   2454940.64643  14.185   0.010       999.00000 999.000 999.000
   2454942.69166   2454942.69166  17.745   0.013   2454942.69391  17.165   0.011   2454942.69561  16.574   0.010       999.00000 999.000 999.000       999.00000 999.000 999.000
   2454943.62001   2454943.62001  17.153   0.009   2454943.62225  16.612   0.008   2454943.62396  16.053   0.007   2454943.62222  14.356   0.010       999.00000 999.000 999.000
   2454944.68656   2454944.68656  17.280   0.009   2454944.68881  16.684   0.009   2454944.69050  16.138   0.007   2454944.68877  14.267   0.010       999.00000 999.000 999.000
   2454947.60582   2454947.60582  17.288   0.009   2454947.60806  16.732   0.008   2454947.60975  16.146   0.007   2454947.60802  14.380   0.011   2454947.60578  12.288   0.008
   2454949.74932   2454949.74932  17.344   0.010   2454949.75157  16.786   0.009   2454949.75327  16.198   0.008   2454949.75153  14.391   0.011   2454949.74928  12.317   0.008
   2454951.71161   2454951.71161  17.150   0.009   2454951.71387  16.566   0.008   2454951.71558  16.038   0.007   2454951.71384  14.271   0.010   2454951.71157  11.954   0.007
   2454953.57820   2454953.57820  17.030   0.009   2454953.58045  16.479   0.007   2454953.58215  15.930   0.006   2454953.58041  14.320   0.009       999.00000 999.000 999.000
   2454955.65768   2454955.65768  17.352   0.021   2454955.65994  16.818   0.020   2454955.66164  16.257   0.022   2454955.65991  14.371   0.016       999.00000 999.000 999.000
   2454959.69217   2454959.69217  17.660   0.048   2454959.69444  17.127   0.038   2454959.69614  16.584   0.031   2454959.69441  14.715   0.014   2454959.69214  12.180   0.009
   2454961.60925   2454961.60925  17.530   0.025   2454961.61150  17.004   0.019   2454961.61320  16.435   0.013   2454961.61146  14.672   0.012       999.00000 999.000 999.000
   2454964.64635   2454964.64635  17.882   0.021   2454964.64805  17.263   0.015   2454964.64974  16.708   0.012   2454964.64801  14.841   0.013   2454964.64631  12.541   0.024
   2454966.61940   2454966.61940  17.710   0.018   2454966.62165  17.145   0.015   2454966.62336  16.563   0.013   2454966.62162  14.795   0.017   2454966.61937  12.747   0.012
   2454967.65110   2454967.65110  17.846   0.015   2454967.65336  17.273   0.013   2454967.65506  16.687   0.011   2454967.65332  14.887   0.014   2454967.65106  12.776   0.011
   2454969.54803   2454969.54803  17.991   0.016   2454969.55029  17.452   0.014   2454969.55200  16.819   0.011   2454969.55026  15.000   0.016   2454969.54800  12.637   0.011
   2454973.70811   2454973.70811  17.082   0.009   2454973.71037  16.496   0.008   2454973.71207  16.049   0.007   2454973.71033  14.366   0.011   2454973.70807  12.457   0.010
   2454975.60011   2454975.60011  17.549   0.012   2454975.60235  16.997   0.011   2454975.60405  16.387   0.009   2454975.60231  14.696   0.014   2454975.60007  12.595   0.011
   2454978.61762   2454978.61762  18.077   0.024   2454978.61987  17.564   0.021   2454978.62157  16.966   0.020   2454978.61983  15.102   0.022   2454978.61758  13.000   0.019
   2454980.61162   2454980.61162  18.308   0.021   2454980.61391  17.765   0.018   2454980.61563  17.162   0.015   2454980.61388  15.267   0.021   2454980.61159  12.863   0.014
   2454982.61915   2454982.61915  18.109   0.028   2454982.62140  17.564   0.024   2454982.62310  16.996   0.019   2454982.62136  15.200   0.020   2454982.61911  12.966   0.012
   2454986.54278   2454986.54278  18.309   0.162   2454986.54504  17.542   0.104   2454986.54673  17.065   0.077   2454986.54500  15.152   0.025   2454986.54274  12.904   0.022
   2454988.56474   2454988.56474  18.232   0.046   2454988.56700  17.527   0.029   2454988.56871  16.941   0.021   2454988.56696  15.118   0.014   2454988.56470  12.797   0.013
   2454990.64832   2454990.64832  17.941   0.046   2454990.65056  17.403   0.029   2454990.65226  16.848   0.021   2454990.65053  14.986   0.015   2454990.64828  12.727   0.009
   2454991.58148   2454991.58148  17.999   0.030   2454991.58374  17.401   0.021   2454991.58545  16.828   0.015   2454991.58371  15.071   0.015   2454991.58145  12.852   0.011
   2454993.60710   2454993.60710  18.021   0.024   2454993.60936  17.411   0.017   2454993.61106  16.861   0.013   2454993.60932  15.021   0.016   2454993.60706  12.722   0.011
   2454994.59980   2454994.59980  17.901   0.022   2454994.60206  17.328   0.016   2454994.60376  16.748   0.012   2454994.60202  14.896   0.014   2454994.59976  12.620   0.010
   2454995.60335   2454995.60335  17.938   0.018   2454995.60560  17.350   0.014   2454995.60730  16.806   0.012   2454995.60556  15.076   0.016   2454995.60331  12.617   0.012
   2454996.52364   2454996.52364  18.026   0.017   2454996.52589  17.513   0.017   2454996.52759  16.910   0.013   2454996.52585  14.947   0.017   2454996.52360  12.854   0.014
   2454998.49046   2454998.49046  18.009   0.017   2454998.49272  17.406   0.015   2454998.49442  16.802   0.013   2454998.49268  15.075   0.019   2454998.49042  12.612   0.013
   2455004.56351   2455004.56351  18.069   0.019   2455004.56578  17.515   0.015   2455004.56747  16.938   0.013   2455004.56574  15.155   0.019   2455004.56348  12.776   0.011
   2455007.46685   2455007.46685  18.062   0.016   2455007.46911  17.495   0.014   2455007.47082  16.901   0.012   2455007.46908  15.041   0.016   2455007.46682  12.600   0.010
   2455010.47191   2455010.47191  17.693   0.015   2455010.47418  17.144   0.013   2455010.47588  16.529   0.010       999.00000 999.000 999.000       999.00000 999.000 999.000
   2455014.49018   2455014.49018  17.599   0.025   2455014.49244  16.978   0.021   2455014.49415  16.355   0.015       999.00000 999.000 999.000       999.00000 999.000 999.000
   2455018.49106   2455018.49106  17.204   0.018   2455018.49333  16.653   0.013   2455018.49503  16.056   0.009       999.00000 999.000 999.000       999.00000 999.000 999.000
   2455020.50560   2455020.50560  17.253   0.021   2455020.50786  16.665   0.014   2455020.50956  16.101   0.010   2455020.50783  14.235   0.010   2455020.50557  12.014   0.007
   2455021.54509   2455021.54509  17.010   0.016   2455021.54735  16.467   0.012   2455021.54906  15.891   0.008   2455021.54732  14.095   0.009   2455021.54506  11.858   0.006
   2455022.52420   2455022.52420  16.942   0.011   2455022.52645  16.381   0.009   2455022.52816  15.779   0.007   2455022.52643  13.950   0.009   2455022.52416  11.703   0.006
   2455023.46105   2455023.46105  17.064   0.010   2455023.46333  16.497   0.008   2455023.46503  15.885   0.007       999.00000 999.000 999.000       999.00000 999.000 999.000
   2455029.53641   2455029.53641  17.680   0.014   2455029.53862  17.098   0.011   2455029.54030  16.454   0.010   2455029.53859  14.609   0.013   2455029.53637  12.248   0.007
   2455031.51694   2455031.51694  17.373   0.011   2455031.51915  16.833   0.010   2455031.52428  16.225   0.008   2455031.51912  14.388   0.011   2455031.51690  12.006   0.006
   2455036.51738   2455036.51738  16.669   0.007   2455036.51958  16.134   0.006   2455036.52125  15.550   0.005   2455036.51955  13.736   0.008   2455036.51734  11.425   0.004
   2455038.45216   2455038.45216  16.635   0.025   2455038.45437  16.095   0.012   2455038.45603  15.539   0.011   2455038.45433  13.729   0.008   2455038.45212  11.525   0.006
   2455042.52470   2455042.52470  16.179   0.007   2455042.52691  15.673   0.006   2455042.52858  15.122   0.005   2455042.52688  13.421   0.007   2455042.52466  11.394   0.004
   2455048.48164   2455048.48164  16.875   0.016   2455048.48385  16.292   0.011   2455048.48551  15.701   0.008   2455048.48381  13.881   0.009   2455048.48160  11.605   0.005
   2455053.48077   2455053.48077  17.353   0.013   2455053.48298  16.774   0.011   2455053.48464  16.173   0.009   2455053.48294  14.319   0.011   2455053.48074  11.654   0.007
   2455055.47253   2455055.47253  17.342   0.020   2455055.47474  16.722   0.018   2455055.47640  16.151   0.017   2455055.47470  14.164   0.020   2455055.47249  11.971   0.012
   2455058.49006   2455058.49006  17.228   0.026   2455058.49228  16.685   0.024   2455058.49395  16.053   0.016   2455058.49224  14.070   0.023   2455058.49002  12.081   0.012
   2455173.85155       999.00000 999.000 999.000       999.00000 999.000 999.000       999.00000 999.000 999.000   2455173.85155  14.261   0.038       999.00000 999.000 999.000
   2455174.85153   2455174.85153  17.565   0.032   2455174.85373  16.878   0.020   2455174.85539  16.194   0.015   2455174.85369  14.141   0.009   2455174.85149  11.794   0.006
   2455178.83516   2455178.83516  17.750   0.021   2455178.83738  17.095   0.014   2455178.83907  16.432   0.011   2455178.83734  14.408   0.012       999.00000 999.000 999.000
   2455179.84625   2455179.84625  17.606   0.019   2455179.84847  16.975   0.014   2455179.85015  16.325   0.011   2455179.84843  14.304   0.011   2455179.84621  12.005   0.007
   2455180.85471   2455180.85471  17.786   0.040   2455180.85693  17.081   0.024   2455180.85861  16.515   0.023   2455180.85689  14.386   0.012   2455180.85467  11.715   0.007
   2455182.82862   2455182.82862  17.755   0.021   2455182.83084  17.098   0.014   2455182.83251  16.463   0.011   2455182.83079  14.396   0.012   2455182.82858  11.710   0.009
   2455184.82996   2455184.82996  17.816   0.020   2455184.83216  17.183   0.029   2455184.83383  16.544   0.017   2455184.83212  14.545   0.020   2455184.82992  12.247   0.009
   2455185.82557   2455185.82557  17.920   0.018   2455185.82778  17.293   0.014   2455185.83915  16.640   0.011   2455185.82774  14.571   0.012   2455185.82553  12.314   0.008
   2455187.83916   2455187.83916  17.949   0.019   2455187.84137  17.292   0.014   2455187.84305  16.643   0.011   2455187.84134  14.656   0.012   2455187.83912  12.052   0.007
   2455188.82237   2455188.82237  17.859   0.018   2455188.82460  17.253   0.014   2455188.82630  16.586   0.011   2455188.82457  14.553   0.012   2455188.82233  12.163   0.008
   2455190.85487   2455190.85487  17.879   0.022   2455190.85710  17.236   0.016   2455190.85878  16.618   0.014   2455190.85705  14.567   0.011   2455190.85483  11.959   0.009
   2455192.84869   2455192.84869  17.972   0.020   2455192.85094  17.337   0.015   2455192.85262  16.697   0.012   2455192.85090  14.616   0.012   2455192.84865  12.040   0.010
